"employeeNum","username","roleName","password","changePassword"
"10001","mgarcia3","Admin","$2a$10$YaHb26gc2f4g3UPAOBdqw.FtE/FvMC0BLOFPG7M1a.2T8x08n8Yf.","NO"
"10002","alim","Admin","$2a$10$2sAmVXKjS9RUiMcsZO38w.ZeJEvV6TzUFfn3L68HcMzgacma7I7SC","NO"
"10003","baquino","Finance","$2a$10$YmjIwkEJ2KCa1GL/Wgqe/eN7b0OyFzI2RhYHcQWaBkH53rUJfhrD6","NO"
"10004","ireyes","Employee","$2a$10$YKnQY6Ek.fkIKOmocKDPouSvg7ZHP8tdcw6t3LgdQ3Ju7LP243uHC","NO"
"10005","ehernandez","IT","$2a$10$Z042Fogb9CqEVgUuD2Q3nO.DxMfBLhM0wDMPeToyTc3OZ4.xmOFde","NO"
"10006","avillanueva","HR","$2a$10$Ke1XhZjdUkvRqy8T2CJjpeMHvenlcJl17jTgdhOnXITl7.NEBGFPm","NO"
"10007","bsanjose","Employee","$2a$10$dm0NfwST4uz1emT4eRaGi.O2hal6bhUjfuBX9DkNULhuUJc1INPKW","NO"
"10008","aromualdez","Employee","$2a$10$chnTlurBfAVAKb/.5I62/uVXaV70WUmdm1qE32zENYkXMaIk6t3UW","NO"
"10009","ratienza","Employee","$2a$10$xYsidXf89RIniK29pdZ6Yeyy42Kl1VygG18NXYoWt5iLADifRm.I.","NO"
"10010","ralvaro","Employee","$2a$10$yQuQiljK1WJYlJNNNHNZo.O8LdRmsCAQrv8JEWdXcjL8pF/oNF2wu","NO"
"10011","asalcedo","Employee","$2a$10$WNA0dtyb/1Gfs6ze/FJItOFywKpdvkIiF2Gh2N.7mm/GW0gLkGeYC","NO"
"10012","jlopez","Employee","$2a$10$BrFqT2/U9Ak948vVBPcUaux4VOSB8b1PIfPJ8XwAIz9UtGB27oc8q","NO"
"10013","mfarala","Employee","$2a$10$SjSPl/Or8rYigqMcz1Jk7eq6YqDLP3jQtF.5jLl0WgAtQUbhNI0gG","NO"
"10014","lmartinez","Employee","$2a$10$OzcD.AAlWJGlz8DeyQ9D3e8B1x1yir5fgyFJDHgqYzg9SbxXHeiRC","NO"
"10015","fromualdez","Employee","$2a$10$50DgfnpLzSqGJBuccAmLRO3vT6mude5BFznKP2708JCO.KC9Dumje","NO"
"10016","cmata","Employee","$2a$10$G7fPwdJq.j4BMZslEo5HTOtAeqe9IsoyukEj70gFP3uakBq60FS1W","NO"
"10017","sdeleon","Employee","$2a$10$NJeERsgy0FXUABMfVdzuwOhvAVCm/bylcWrxNQDEItX7cTVdPaQ9W","NO"
"10018","asanjose","Employee","$2a$10$VnECCoXwiZ9OIG39DyhPFOpCGpVclpckHhGuLswFk1HA8H/Mw8a1W","NO"
"10019","crosario","Employee","$2a$10$4j0beJbKQb1RVPk4/KupCexGUth7OgdOLCeSVtIr6xweT5oBKd886","NO"
"10020","mbautista","Employee","$2a$10$PLksKeI2qCNTIJFdFDnoUOujHHJNgVlBoTjM6eBLx7xMT2zuaaQQa","NO"
"10021","dlazaro","Employee","$2a$10$V7AqzU/.tzLqyMNI8oFZM.H19tRbNTSagNTbiMUzi325.NhIOsmUy","NO"
"10022","kdelossantos","Employee","$2a$10$f4QZlINAd0pv1jZUmeRYI.jPvKgggOG7s3mq3xHKKgvM32fz/SLEe","NO"
"10023","vsantos","Employee","$2a$10$0BN37blCQOWquJMtHPAVYuLocrh6L1Rr8.kzlHH3XvVZtQpjHKyAy","NO"
"10024","tdelrosario","Employee","$2a$10$ti5j4Kd4NyehKJPy3XKv8.Ds99pt9BfcTCkCCoVGnp4TSs4DEaq1u","NO"
"10025","jtolentino","Employee","$2a$10$11WGS5HxYsHAbXKHjC2bwu1hiuOLQGDDn8TVKqUKzDDWeT8wAWJpm","NO"
"10026","pgutierrez","Employee","$2a$10$vBh/x5vx43FpYeFDor69e.sfeh/mFlZ3I9p3.rtZNWE0hzVuCti5i","NO"
"10027","gmanalaysay","Employee","$2a$10$jNivze1Gt0JGJtkrK7xzWOXEHfczhftEvHrmyGMyHChFEkVXGl17G","NO"
"10028","lvillegas","Employee","$2a$10$3d29GcZMPX5O74xy/nWk4.ttPA8Ti37OcJBJ6hA1rxrnWzgZtGEzy","NO"
"10029","cramos","Employee","$2a$10$QA/YpGuFs5LIdnltVhbeTuNuO.9Y5fQo5PoVLTsTrz50YlJG/24Ia","NO"
"10030","emaceda","Employee","$2a$10$FYcrQfTKGSBJ06YB1vD/pOfoSv5aWuvHoJLd0TltbBAVGF8j3EDzy","NO"
"10031","daguilar","Employee","$2a$10$2JuwhUE1m3NNNMyM1s3aFu5wVDLY5d6Ni6r6U4dA8c4DlKZHJf5gO","NO"
"10032","jrcastro","Employee","$2a$10$XeV.fdsyA6A0XDxzVk/lV.ROfm6rGXDwsfNYDaIqX7/vJDZS/rAh2","NO"
"10033","cimartinez","Employee","$2a$10$Uop5KrYJkeY81kdd829Kk.k37s6O5sYrH9F3BBPPXV6qVhBD5jif2","NO"
"10034","bsantos","Employee","$2a$10$WmgBR8xfyIjCx8c32aKS/eX.LLjUBc1zn0iB5kNv8f/9dgarzQ.Fq","NO"
